Season,DayNum,WTeamID,WScore,LTeamID,LScore,WLoc,NumOT,WFGM,WFGA,WFG%,WFGM3,WFGA3,WFG3%,WFTM,WFTA,WFT%,WOR,WDR,WAst,WTO,WStl,WBlk,WPF,LFGM,LFGA,LFG%,LFGM3,LFGA3,LFG3%,LFTM,LFTA,LFT%,LOR,LDR,LAst,LTO,LStl,LBlk,LPF
2004,136,1314,63,1102,52,N,0,22,53,0.415,4,13,0.308,15,18,0.833,14,21,12,13,10,1,15,17,39,0.436,8,25,0.320,10,13,0.769,2,19,15,16,7,2,15
2004,136,1371,80,1112,76,N,0,27,58,0.466,8,22,0.364,18,24,0.750,12,21,12,10,6,0,19,28,53,0.528,5,11,0.455,15,19,0.789,7,22,12,14,4,3,15
2004,136,1386,82,1251,63,N,0,27,60,0.450,8,23,0.348,20,28,0.714,10,26,16,14,15,3,17,22,51,0.431,6,20,0.300,13,18,0.722,7,29,15,26,7,1,22
2004,136,1390,71,1427,45,N,0,27,54,0.500,6,14,0.429,11,15,0.733,11,29,11,20,11,9,20,15,63,0.238,2,15,0.133,13,21,0.619,22,17,2,19,8,3,15
2004,136,1393,80,1140,75,N,0,24,46,0.522,11,16,0.688,21,28,0.750,5,18,12,7,2,4,15,26,55,0.473,10,26,0.385,13,19,0.684,15,21,19,9,2,1,23
2004,136,1400,66,1343,49,N,0,23,50,0.460,11,15,0.733,9,14,0.643,17,26,10,13,3,1,16,18,51,0.353,5,26,0.192,8,12,0.667,9,14,11,7,5,0,18
2004,136,1403,76,1150,73,N,0,29,59,0.492,4,11,0.364,14,18,0.778,14,22,17,16,7,2,16,25,58,0.431,6,24,0.250,17,21,0.810,13,20,14,14,11,4,20
2004,136,1448,79,1433,78,N,0,28,54,0.519,6,16,0.375,17,27,0.630,9,23,16,11,7,2,16,29,57,0.509,11,20,0.550,9,13,0.692,7,20,17,17,7,4,22
2004,137,1130,58,1428,51,N,0,23,44,0.523,3,4,0.750,9,11,0.818,4,21,20,8,4,3,13,19,50,0.380,3,18,0.167,10,10,1.000,9,17,12,8,2,0,12
2004,137,1153,80,1190,77,N,0,29,62,0.468,13,32,0.406,9,11,0.818,12,33,22,17,3,11,19,29,74,0.392,6,23,0.261,13,20,0.650,17,21,14,6,11,3,14
2004,137,1210,65,1320,60,N,0,25,55,0.455,6,18,0.333,9,12,0.750,8,29,10,12,4,3,14,21,54,0.389,10,27,0.370,8,10,0.800,3,25,15,10,2,1,16
2004,137,1228,72,1293,53,N,0,27,60,0.450,9,24,0.375,9,13,0.692,16,28,19,8,5,5,17,17,49,0.347,8,20,0.400,11,17,0.647,9,18,8,10,4,2,13
2004,137,1242,78,1227,53,N,0,24,39,0.615,5,12,0.417,25,40,0.625,6,35,18,25,6,8,19,20,64,0.313,3,16,0.188,10,14,0.714,11,15,10,15,9,0,25
2004,137,1246,96,1197,76,N,0,35,62,0.565,11,28,0.393,15,23,0.652,13,29,23,17,8,5,15,30,66,0.455,11,30,0.367,5,12,0.417,12,17,13,17,13,1,19
2004,137,1272,59,1376,43,N,0,23,59,0.390,9,27,0.333,4,7,0.571,14,22,16,9,3,4,15,15,42,0.357,2,13,0.154,11,16,0.688,4,21,9,12,5,4,14
2004,137,1280,85,1284,52,N,0,30,56,0.536,8,22,0.364,17,23,0.739,13,34,19,17,12,3,13,18,51,0.353,9,27,0.333,7,15,0.467,3,17,12,17,7,0,18
2004,137,1301,61,1418,52,N,0,18,49,0.367,5,17,0.294,20,24,0.833,13,24,10,15,5,0,20,16,49,0.327,5,22,0.227,15,23,0.652,11,21,9,15,9,2,21
2004,137,1329,75,1186,56,N,0,30,55,0.545,2,6,0.333,13,16,0.813,11,26,15,15,12,5,16,21,59,0.356,3,19,0.158,11,13,0.846,12,15,19,14,8,2,15
2004,137,1334,66,1344,58,N,0,24,50,0.480,6,14,0.429,12,18,0.667,7,22,17,12,7,1,11,23,61,0.377,6,26,0.231,6,6,1.000,15,21,12,15,4,2,18
2004,137,1338,53,1416,44,N,0,13,44,0.295,5,16,0.313,22,31,0.710,10,27,7,13,8,1,15,16,52,0.308,5,20,0.250,7,10,0.700,9,24,10,14,6,0,22
2004,137,1412,102,1449,100,N,0,30,65,0.462,9,26,0.346,33,44,0.750,11,26,23,12,8,2,26,35,64,0.547,6,20,0.300,24,34,0.706,10,31,19,16,6,5,30
2004,137,1435,71,1444,58,N,0,26,46,0.565,11,19,0.579,8,18,0.444,8,25,16,17,9,5,15,22,63,0.349,2,19,0.105,12,16,0.750,18,18,10,12,13,1,19
2004,137,1458,76,1350,64,N,0,25,51,0.490,8,18,0.444,18,24,0.750,11,18,14,9,7,3,11,25,54,0.463,7,16,0.438,7,13,0.538,13,16,17,14,8,3,19
2004,137,1462,80,1257,70,N,0,23,46,0.500,9,18,0.500,25,29,0.862,12,27,15,15,6,1,12,25,63,0.397,10,32,0.313,10,13,0.769,13,13,18,10,7,1,23
2004,138,1104,70,1390,67,N,0,16,43,0.372,4,19,0.211,34,44,0.773,5,24,8,8,6,8,16,26,73,0.356,7,24,0.292,8,11,0.727,22,27,12,12,2,0,31
2004,138,1163,72,1177,55,N,0,26,60,0.433,5,16,0.313,15,23,0.652,13,31,15,5,5,5,15,20,59,0.339,5,15,0.333,10,13,0.769,9,26,12,8,1,0,20
2004,138,1181,90,1371,62,N,0,26,48,0.542,4,11,0.364,34,38,0.895,11,29,16,10,3,3,18,24,57,0.421,3,17,0.176,11,16,0.688,8,14,11,10,4,0,27
2004,138,1305,91,1211,72,N,0,30,64,0.469,8,17,0.471,23,29,0.793,14,29,18,8,4,4,18,28,75,0.373,3,22,0.136,13,18,0.722,19,20,9,10,4,1,23
2004,138,1386,70,1403,65,N,0,27,57,0.474,12,31,0.387,4,5,0.800,11,20,13,13,4,0,16,25,53,0.472,3,12,0.250,12,14,0.857,9,20,16,9,7,2,11
2004,138,1393,72,1268,70,N,0,22,55,0.400,4,12,0.333,24,38,0.632,12,26,11,12,7,5,25,20,52,0.385,3,12,0.250,27,38,0.711,12,28,13,17,5,6,26
2004,138,1400,78,1314,75,N,0,27,55,0.491,5,13,0.385,19,23,0.826,9,26,10,11,6,1,19,25,65,0.385,9,28,0.321,16,19,0.842,16,20,14,11,6,1,21
2004,138,1448,84,1264,80,N,0,29,57,0.509,8,20,0.400,18,24,0.750,8,29,15,10,5,2,18,29,63,0.460,7,20,0.350,15,20,0.750,8,24,15,8,5,3,23
2004,139,1210,57,1130,54,N,0,23,51,0.451,6,18,0.333,5,6,0.833,8,16,15,17,12,1,17,20,44,0.455,5,13,0.385,9,15,0.600,11,19,14,22,11,2,14
2004,139,1228,92,1153,68,N,0,35,55,0.636,11,19,0.579,11,14,0.786,2,19,26,4,9,1,14,27,58,0.466,7,16,0.438,7,11,0.636,14,20,14,13,1,5,14
2004,139,1242,78,1334,63,N,0,29,60,0.483,5,15,0.333,15,21,0.714,15,25,17,13,11,3,15,23,54,0.426,6,20,0.300,11,15,0.733,9,18,19,14,6,1,18
2004,139,1329,70,1272,53,N,0,28,47,0.596,5,12,0.417,9,17,0.529,14,20,18,17,8,1,16,20,50,0.400,6,17,0.353,7,14,0.500,11,11,9,12,6,3,15
2004,139,1338,59,1458,55,N,0,21,59,0.356,2,10,0.200,15,19,0.789,15,25,10,9,7,3,17,17,48,0.354,8,18,0.444,13,17,0.765,7,24,9,13,4,3,20
2004,139,1412,76,1246,75,N,0,30,67,0.448,8,18,0.444,8,13,0.615,18,15,19,12,9,1,19,27,61,0.443,7,20,0.350,14,18,0.778,20,21,13,16,4,4,16
2004,139,1435,75,1301,73,N,0,23,49,0.469,10,25,0.400,19,21,0.905,10,17,15,8,4,2,13,27,57,0.474,13,31,0.419,6,8,0.750,13,18,13,6,1,1,20
2004,139,1462,89,1280,74,N,0,30,55,0.545,13,19,0.684,16,23,0.696,6,32,14,13,3,9,14,26,72,0.361,9,26,0.346,13,21,0.619,18,22,14,8,11,3,21
2004,143,1104,80,1393,71,N,0,26,52,0.500,9,22,0.409,19,23,0.826,10,17,22,9,11,6,17,26,55,0.473,5,14,0.357,14,20,0.700,16,19,12,18,5,4,20
2004,143,1163,73,1435,53,N,0,27,51,0.529,6,17,0.353,13,15,0.867,11,33,14,18,6,4,10,20,57,0.351,8,24,0.333,5,8,0.625,6,15,11,11,8,0,14
2004,143,1329,63,1338,51,N,0,22,45,0.489,4,8,0.500,15,16,0.938,6,24,13,10,6,5,16,21,58,0.362,3,17,0.176,6,10,0.600,16,17,8,12,5,1,18
2004,143,1386,84,1448,80,N,0,29,58,0.500,12,24,0.500,14,23,0.609,10,20,15,11,8,4,21,27,51,0.529,8,16,0.500,18,25,0.720,7,21,15,15,6,0,22
2004,144,1181,72,1228,62,N,0,28,51,0.549,6,18,0.333,10,15,0.667,5,24,19,13,10,5,14,26,64,0.406,4,13,0.308,6,11,0.545,14,22,17,12,5,2,15
2004,144,1210,72,1305,67,N,0,27,63,0.429,6,18,0.333,12,22,0.545,13,36,10,16,9,5,22,22,69,0.319,5,20,0.250,18,24,0.750,16,29,5,11,4,3,22
2004,144,1242,100,1412,74,N,0,30,56,0.536,4,10,0.400,36,44,0.818,10,35,21,17,9,3,19,23,71,0.324,8,33,0.242,20,24,0.833,14,19,12,12,13,4,27
2004,144,1462,79,1400,71,N,0,23,58,0.397,8,25,0.320,25,35,0.714,16,23,13,7,6,3,20,26,62,0.419,7,16,0.438,12,17,0.706,14,21,12,8,1,6,25
2004,145,1163,87,1104,71,N,0,29,60,0.483,10,17,0.588,19,29,0.655,15,25,17,7,3,7,18,25,60,0.417,6,19,0.316,15,18,0.833,12,21,14,9,2,5,23
2004,145,1329,64,1386,62,N,0,25,53,0.472,4,17,0.235,10,15,0.667,12,30,13,13,2,6,16,22,57,0.386,8,26,0.308,10,13,0.769,6,18,15,5,8,3,14
2004,146,1181,66,1462,63,N,0,21,54,0.389,8,20,0.400,16,20,0.800,10,29,15,11,6,7,23,22,63,0.349,3,15,0.200,16,23,0.696,16,24,8,10,5,0,21
2004,146,1210,79,1242,71,N,1,25,56,0.446,3,16,0.188,26,34,0.765,11,30,14,12,13,3,17,26,65,0.400,6,19,0.316,13,19,0.684,12,26,15,15,8,3,26
2004,152,1163,79,1181,78,N,0,26,52,0.500,6,11,0.545,21,32,0.656,13,31,9,18,5,6,20,29,71,0.408,6,22,0.273,14,23,0.609,17,20,11,9,8,3,24
2004,152,1210,67,1329,65,N,0,24,49,0.490,7,17,0.412,12,16,0.750,7,22,16,12,7,4,19,22,50,0.440,4,15,0.267,17,25,0.680,12,21,10,13,3,0,15
2004,154,1163,82,1210,73,N,0,26,61,0.426,5,17,0.294,25,39,0.641,18,32,10,16,5,2,18,27,71,0.380,7,22,0.318,12,21,0.571,18,25,9,14,10,1,26
2005,134,1324,79,1105,69,N,0,29,57,0.509,7,15,0.467,14,20,0.700,14,29,14,17,2,2,14,23,59,0.390,10,28,0.357,13,18,0.722,10,19,16,14,6,3,17
2005,136,1112,66,1429,53,N,0,23,49,0.469,6,14,0.429,14,18,0.778,9,24,9,11,3,6,12,20,55,0.364,7,19,0.368,6,10,0.600,12,20,15,12,6,3,16
2005,136,1130,85,1335,65,N,0,30,52,0.577,8,12,0.667,17,25,0.680,8,33,24,19,8,6,14,25,71,0.352,10,30,0.333,5,10,0.500,16,18,17,17,11,2,19
2005,136,1153,76,1234,64,N,0,27,57,0.474,9,18,0.500,13,22,0.591,9,27,18,8,5,8,19,20,59,0.339,5,17,0.294,19,25,0.760,16,27,5,11,6,1,20
2005,136,1211,74,1457,64,N,0,27,59,0.458,5,16,0.313,15,22,0.682,11,29,13,10,5,5,14,22,60,0.367,10,26,0.385,10,12,0.833,10,26,16,13,4,0,19
2005,136,1228,67,1192,55,N,0,23,54,0.426,6,21,0.286,15,21,0.714,8,22,16,8,8,2,13,23,57,0.404,4,16,0.250,5,11,0.455,15,27,11,17,6,3,19
2005,136,1246,72,1184,64,N,0,26,51,0.510,2,11,0.182,18,26,0.692,9,22,11,14,9,4,11,26,59,0.441,6,18,0.333,6,11,0.545,13,22,14,17,5,1,20
2005,136,1305,61,1400,57,N,0,23,62,0.371,3,14,0.214,12,18,0.667,16,33,11,8,4,7,14,24,68,0.353,5,10,0.500,4,6,0.667,13,27,2,5,5,6,16
2005,136,1328,84,1310,67,N,0,34,74,0.459,3,13,0.231,13,15,0.867,14,34,16,14,9,3,14,24,68,0.353,6,28,0.214,13,15,0.867,11,26,12,16,8,2,16
2005,136,1334,79,1338,71,N,0,26,55,0.473,10,20,0.500,17,23,0.739,10,25,15,12,2,1,18,25,59,0.424,8,23,0.348,13,18,0.722,10,20,10,10,7,3,20
2005,136,1403,78,1417,66,N,0,32,52,0.615,3,7,0.429,11,16,0.688,4,28,21,14,7,2,14,26,60,0.433,6,20,0.300,8,15,0.533,9,18,16,13,5,2,15
2005,136,1412,82,1261,68,N,0,27,59,0.458,7,16,0.438,21,36,0.583,11,24,15,15,8,2,23,23,64,0.359,6,31,0.194,16,22,0.727,16,26,10,21,6,5,26
2005,136,1428,60,1431,54,N,0,21,49,0.429,6,24,0.250,12,20,0.600,15,25,15,18,7,4,13,22,53,0.415,2,9,0.222,8,9,0.889,5,17,13,10,6,1,20
2005,136,1448,70,1151,54,N,0,24,58,0.414,8,28,0.286,14,21,0.667,15,22,16,15,10,2,12,21,52,0.404,6,20,0.300,6,9,0.667,11,24,12,22,5,1,19
2005,136,1449,88,1285,77,N,0,32,58,0.552,9,19,0.474,15,22,0.682,9,23,19,16,9,1,14,33,65,0.508,9,20,0.450,2,8,0.250,12,21,15,18,5,0,16
